form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB17,C00612432,B-921205,B-766923,,ORG,Marriott,,,,,,6955 Lake Nona Boulevard,,Orlando,FL,32827,P2022,,2021-02-13,123.99,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921189,B-792190,,ORG,Marriott,,,,,,6955 Lake Nona Boulevard,,Orlando,FL,32827,P2022,,2021-03-04,1168.89,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766705,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-01-08,77.75,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792150,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-02-03,66.98,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792151,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-02-05,25.00,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792152,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-02-11,25.00,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792153,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-02-25,25.00,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792154,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-03-02,220.22,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792336,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-03-10,25.00,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792339,,,ORG,Middletown Valley Bank,,,,,,PO Box 75,,Middletown,MD,21769,P2022,,2021-03-15,25.00,null,Banking Service Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766982,,,PAC,National Association of Broadcasters PAC (NABPAC),,,,,,1771 N Street Northwest,,Washington,DC,20036,P2020,,2021-02-03,75.00,140.00,Conduit Processing Fees,001,,,,,,,,,,,00,,,,,,,,
SB17,C00612432,B-921097,B-732314,,ORG,National Car Rental,,,,,,2125 Belvedere Road,,West Palm Beach,FL,33406,P2022,,2020-12-15,53.00,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766778,B-766773,,ORG,National Car Rental,,,,,,2125 Belvedere Road,,West Palm Beach,FL,33406,P2022,,2020-12-20,282.02,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766786,B-766773,,ORG,National Car Rental,,,,,,2125 Belvedere Road,,West Palm Beach,FL,33406,P2022,,2021-01-24,870.26,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921168,B-766923,,ORG,National Car Rental,,,,,,2125 Belvedere Road,,West Palm Beach,FL,33406,P2022,,2021-01-31,171.74,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921181,B-792190,,ORG,National Car Rental,,,,,,2125 Belvedere Road,,West Palm Beach,FL,33406,P2022,,2021-03-01,360.93,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921124,B-766921,,ORG,Niceville-valparaiso Chamber Of Commerce,,,,,,1055 John Sims Parkway,,Niceville,FL,32578,P2022,,2021-02-09,595.00,null,Membership Dues,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921214,B-921212,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-01-12,494.76,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-871061,B-766829,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-01-26,9913.68,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-766931,B-766929,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-02-02,4052.52,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-766928,B-766926,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-02-09,4679.46,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-766938,B-766936,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-02-23,1679.60,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-766934,B-766932,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-02-24,817.60,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-792136,B-792134,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-03-02,840.36,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-792325,B-792323,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-03-09,1687.41,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-792328,B-792326,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-03-16,638.12,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-792331,B-792329,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-03-23,620.00,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-792334,B-792332,,ORG,Olympic Media,,,,,,2402 Potomac Ave,Unit 102,Alexandria,VA,22301,P2022,,2021-03-30,2020.80,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-WinRed Technical Services
SB17,C00612432,B-921216,,,ORG,Red Rock Strategies,,,,,,9500 West Flamingo Road,#203,Las Vegas,NV,89147,P2022,,2021-01-06,7366.40,null,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766834,,,ORG,Red Rock Strategies,,,,,,9500 West Flamingo Road,#203,Las Vegas,NV,89147,P2022,,2021-02-03,74965.99,null,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792186,,,ORG,Red Rock Strategies,,,,,,9500 West Flamingo Road,#203,Las Vegas,NV,89147,P2022,,2021-03-16,76933.59,null,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921016,,,ORG,"Response America, Llc",,,,,,C/O 1668 Rambling Rill Drive,,Statham,GA,30666,P2022,,2021-03-31,20544.68,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792155,,,ORG,Rst Marketing,,,,,,1272 Corporate Park Drive,,Forest,VA,24551,P2022,,2021-02-05,32929.84,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921022,,,ORG,Rst Marketing,,,,,,1272 Corporate Park Drive,,Forest,VA,24551,P2022,,2021-03-31,22199.24,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921164,B-766923,,ORG,Savoya,,,,,,1845 Woodall Rodgers Freeway,,Dallas,TX,75201,P2022,,2021-01-28,250.00,null,Transportation Fees,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921166,B-766923,,ORG,Savoya,,,,,,1845 Woodall Rodgers Freeway,,Dallas,TX,75201,P2022,,2021-01-29,1132.75,null,Transportation Fees,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921183,B-792190,,ORG,Silver Air,,,,,,1100 Lee Wagener Boulevard,201,Fort Lauderdale,FL,33315,P2022,,2021-03-02,8.00,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921184,B-792190,,ORG,Silver Air,,,,,,1100 Lee Wagener Boulevard,201,Fort Lauderdale,FL,33315,P2022,,2021-03-02,353.29,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921190,B-792190,,ORG,Sixt Rent A Car,,,,,,1 Airport Boulevard,,Orlando,FL,32827,P2022,,2021-03-04,611.25,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921195,B-792190,,ORG,Sixt Rent A Car,,,,,,1 Airport Boulevard,,Orlando,FL,32827,P2022,,2021-03-08,769.09,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766788,B-766773,,ORG,SLS Brickell Miami,,,,,,1300 South Miami Avenue,,Miami,FL,33130,P2022,,2021-01-23,371.13,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766789,B-766773,,ORG,SLS Brickell Miami,,,,,,1300 South Miami Avenue,,Miami,FL,33130,P2022,,2021-01-23,516.41,null,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921148,B-766923,,ORG,SLS Brickell Miami,,,,,,1300 South Miami Avenue,,Miami,FL,33130,P2022,,2021-01-24,285.93,null,Meal Expense,003,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921149,B-766923,,ORG,SLS Brickell Miami,,,,,,1300 South Miami Avenue,,Miami,FL,33130,P2022,,2021-01-24,49.16,null,Parking,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-792338,,,ORG,Southwest Publishing And Mailing,,,,,,400 Southeast Adams Street,,Topeka,KS,66609,P2022,,2021-03-10,73269.63,null,Postage,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921215,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-01-07,3271.75,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766826,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-01-14,15702.19,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766827,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-01-21,151619.13,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766828,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-01-28,56284.16,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792128,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-02-04,64489.89,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792129,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-02-11,113532.44,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792130,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-02-18,31216.42,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792131,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-02-25,21951.91,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792132,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-03-04,30790.50,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792320,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-03-11,17283.97,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792321,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-03-18,12433.82,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792322,,,ORG,Stripe,,,,,,3180 18th Street,Suite 100,San Francisco,CA,94110,P2022,,2021-03-25,8268.74,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921177,B-792190,,ORG,The Boheme,,,,,,325 South Orange Avenue,,Orlando,FL,32801,P2022,,2021-02-26,468.49,null,Meal Expense,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921156,B-792190,,ORG,Turo Inc.,,,,,,111 Sutter Street,Suite 600,San Francisco,CA,94104,P2022,,2021-02-19,456.10,null,Transportation,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921118,B-766922,,ORG,UBER,,,,,,1455 Market Street,,San Francisco,CA,94103,P2022,,2021-01-30,43.20,null,Transportation Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921083,B-766922,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-25,39.00,null,Airline Fees,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921150,B-766923,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-25,367.82,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766759,B-766756,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-26,278.20,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766760,B-766756,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-26,35.00,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766768,B-766756,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-26,35.00,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921084,B-766922,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-26,631.80,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921117,B-766922,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-01-29,52.00,null,Airline Fees,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921204,B-766923,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-02-12,24.99,null,Airline Fees,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921152,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-02-16,194.82,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921153,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-02-16,24.00,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921154,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-02-16,24.00,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921158,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-02-19,14.99,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921159,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-02-19,8.99,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921186,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-03-03,405.82,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921187,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-03-03,24.00,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921188,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-03-03,35.00,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921197,B-792190,,ORG,United Airlines,,,,,,1025 Connecticut Avenue Northwest,,Washington,DC,20036,P2022,,2021-03-11,15.99,null,Airline Fee,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921090,B-732316,,ORG,United States Postal Service,,,,,,1400 L St NW Lbby 2,,Washington,DC,20005,P2022,,2020-12-09,382.80,null,Postage,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-766735,,,ORG,US Postmaster,,,,,,44 West Franklin Street,,Hagerstown,MD,21740,P2022,,2021-01-20,985.00,null,Postage,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-920997,,,ORG,US Postmaster,,,,,,44 West Franklin Street,,Hagerstown,MD,21740,P2022,,2021-03-10,3000.00,null,Postage,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766885,,,ORG,"Venable, LLP",,,,,,PO Box 62727,,Baltimore,MD,21264,P2022,,2021-02-08,21224.00,null,Legal Consulting,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921018,,,ORG,Visual Impact Design,,,,,,1668 Rambling Rill Drive,,Statham,GA,30666,P2022,,2021-03-31,2000.00,null,Printing,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766825,B-766824,,IND,,Wallace,Katherine,,,,1600 Governor's Drive,Apt. 1517,Pensacola,FL,32514,P2022,,2021-01-29,461.75,null,Payroll,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Gusto
SB17,C00612432,B-792159,B-792158,,IND,,Wallace,Katherine,,,,1600 Governor's Drive,Apt. 1517,Pensacola,FL,32514,P2022,,2021-02-26,461.75,null,Payroll,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Gusto
SB17,C00612432,B-792316,B-792315,,IND,,Wallace,Katherine,,,,1600 Governor's Drive,Apt. 1517,Pensacola,FL,32514,P2022,,2021-03-31,461.75,null,Payroll,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-Gusto
SB17,C00612432,B-921094,B-766922,,ORG,Walmart,,,,,,9360 Navarre Parkway,,Navarre,FL,32566,P2022,,2021-01-28,166.40,null,General Office Supplies,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921126,B-766921,,ORG,Walton Area Chamber,,,,,,63 S. Centre Trail,,Santa Rosa Beach,FL,32459,P2022,,2021-02-09,295.00,null,Membership Dues,001,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921023,,,ORG,"Win Right Data Company, LLC",,,,,,3306 Northwest 10th Street,,Cape Coral,FL,33993,P2022,,2021-03-31,5077.18,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921212,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-01-12,494.76,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921213,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-01-12,292.84,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766829,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-01-26,9913.68,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-871060,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-01-26,755.03,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766929,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-02,4052.52,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766930,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-02,271.86,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766926,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-09,4679.46,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766927,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-09,331.14,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766935,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-23,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766936,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-23,1679.60,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766937,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-23,184.62,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766932,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-24,817.60,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766933,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-02-24,96.92,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792134,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-02,840.36,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792135,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-02,62.95,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792323,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-09,1687.41,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792324,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-09,124.83,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792326,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-16,638.12,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792327,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-16,104.02,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792329,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-23,620.00,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792330,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-23,91.16,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792332,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-30,2020.80,null,SEE MEMO ITEMS,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-792333,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,P2022,,2021-03-30,177.71,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
